file,target,candidate
hexo.54cdd406c4a74290f5d2ef7c4c268b46d7f5d31a.lib.plugins.console.init.js,"name: 'hexo-site',",return posts){
hexo.613df53813a516cb6b715e7351f7bfd3e8a3225c.lib.render.js,"rendererSync = require('./extend').rendererSync.list(),","rendererSync = require('./extend').rendererSync.list(),"
hexo.c3d0367955c8b5566c0f0ee2b131659aa2196549.test.scripts.box.box.js,processor.calledOnce.should.be.true;,box.calledOnce.should.should.should.be.be.true;
hexo.cfa6ac292af8427c41253fb89b0fcc61343518a7.lib.plugins.console.generate.js,const publicFiles = Cache.filter(item => item._id.startsWith('public/')).map(item => item._id.substring(7));,"const fs.call(this, this.addListener(this, this, this.handle);"
express.2a7a5aeefee5018c7936e1b16c55bdc925650c53.test.express.test.js,app.use(connect.bodyParser());,app.get('/return; });
express.8d21f1e45c5149600b7eb00734a7eee6e90677a8.lib.router.index.js,"callbacks.forEach(function(fn, i){",'function'));' == null;
karma.98a4fbfb566a1635be1b980ee63c6189c10c0965.lib.cli.js,if (helper.isString(options.formatError)) {,if (helper.isString(options.formatError)) {
express.f850fa6bc98afebbdd3ba50686e983a5587ad91d.lib.express.plugins.cookie.js,if (event.response.cookies &&,return true; }
karma.199e15f943356ce77aef8beab2ee4c862394ff63.static.testacular.src.js,"var socket = io.connect('http://' + location.host, {",""""
bower.1cec48c065205ab3ddc70d3f372593481c0b3805.lib.core.resolvers.UrlResolver.js,"msg += 'of ' + (state.total / 1024 / 1024).toFixed(1) + 'MB downloaded, ';","res.writeHead(this._getHeader() + '', headers);"
hexo.5d00e02b382d8d91719aaf183e44cec83acfbc09.test.scripts.box.box.js,"it('process() - handle null ignore', () => {",it('process() => Promise.next() => {
express.021655a10a6cf326f2ac5bf146de83b24812f065.lib.response.js,if (2 == arguments.length) {,return this;
hexo.d35287a765d5d7d43135c8f50d1a63204d5f21ad.lib.plugins.renderer.markdown.js,"return marked(data.text, options);",""""
hexo.c313b5f22c6a809bca487bf496066ec96b2acc10.lib.box.index.js,var chalk = require('chalk');,var chalk = require('chalk');
karma.225c0e54ccdc1907f56e384a401425c96d7f47f6.test.unit.middleware.karma.spec.js,"handler = createKarmaMiddleware(filesDeferred.promise, serveFile, null, '/base/path', '/__karma__/', clientConfig)","done() 'NotExpect(.promise.promise.returnsess', done => this.returnsess', done() })"
express.2c734e2e4cbf2dba7ea1fbd9b005bc92e4afb7f9.lib.response.js,var req = this.req,var req = this.req
hexo.c3d0367955c8b5566c0f0ee2b131659aa2196549.test.scripts.console.list_post.js,expect(console.log.calledWith(sinon.match('Date'))).be.true;,expect(console.log.calledWith(sinon.match('Date'))).to.be.true;
hexo.7c7674ef214ae4217991b2dce13421e057721133.lib.models.post.js,var _ = require('lodash');,var _ = require(\'lodash\');
hexo.7ae974dbfb877e1300ba215245502aa84279b671.lib.plugins.console.index.js,var publishOptions = {,"' };"""
bower.1f7bd9fd4776408bbd7ee07dba3f40721c467865.lib.core.resolvers.GitRemoteResolver.js,if (done) {,NULL
express.f7f75923aa2f6eaae34aa52b881ac43810a3a85c.lib.express.view.js,if (typeof options === 'function') {,if (options.object) {
express.0f5560eebda3111d25e80e0b84c1943c6146de05.test.acceptance.web-service.js,".end(function(err, res){",".end(function(err, res){"
hexo.b7775a475a6ed7f4cf48827097996ce2b21a9bd8.lib.plugins.deployer.openshift.js,"var baseDir = hexo.base_dir,",var baseDir = hexo.base_dir;
express.53a16e1795a21fe3437456e89b3e827466e93bab.test.router.test.js,app.match('/user/123').should.have.length(3);,app.get('/*').should.skip('express');
bower.60d9bfb2b8eb040a363a083a3000c287bc9bb698.lib.util.createLink.js,if (!isWin || err.code !== 'EPERM') {,if (err.code === 'ENOENT') {
hexo.f36e29cd7a2e03adc40aecc5323ebe7bfd84ff41.lib.hexo.default_config.js,prismjs: {,attrs: {
express.50e533c32bde291b2d580eee2593fba8ac96617f.lib.express.plugins.view.js,var partialcache = {},NULL
karma.033b882a1a2be7d0148cc2366ffbf3c74bcb5d3f.lib.config.js,var normalizeUrlRoot = function(urlRoot) {,config.format = function(urlRoot) {
hexo.ee34467b4c914fbeed526fa4a2949d5a84b718e2.test.scripts.console.list_tags.js,let stub;,return {
hexo.ebd00e77d40c483ae26820ce5cb7e335755ad701.lib.plugins.helper.mail_to.js,const { htmlTag } = require('hexo-util');,'
hexo.ebd00e77d40c483ae26820ce5cb7e335755ad701.lib.plugins.generator.asset.js,const { source } = asset;,const { source } = asset;
express.3682f4f06ac7d637f33d2f62c2a45fc1ab8e117c.lib.express.core.js,var mp = multipart.parse(request),Express.server = set('test')
express.1150a8800189972302e00aa966ceadec3ac80cb9.lib.response.js,"res.cookie = function(name, val, options){",".unshift(); };"" });"""
hexo.856e56601ebf81d4e2c96f9735f13bed9d23fc9e.lib.plugins.renderer.markdown.js,"_ = require('lodash'),",extend = require('../extend');
hexo.867e144218413c8098fe1855d1be8bfe5fa72afb.lib.generate.js,this.find = function(query){,this.find = function(query){
hexo.e2470416f92c75a5df42e9a6c907a83fd3810e30.lib.util.file.js,"fs.open(destination, 'w', function(err, fd) {","}, function(err)}, function(err){"""
hexo.683fd0a19c4f94216dcc13c35970135d7a6ef03e.lib.hexo.post.js,var rSwigComment = /\{#[\s\S]*?#\}/g;,var rSwigComment = /\\{#[\\s\\S]*?#\\}/g;
express.a62a5d0d7b2e023c8609938752dc44741ae1dcd6.examples.hello-world.app.js,"app.get('/', function(req, res, params){","app.get(\'/\', function(req, res){"
hexo.3323364f3a81b539f303f6dec4ae666bb3c34dcc.lib.plugins.tag.code.js,var util = require('../../util');,NULL
express.9e5a758e7ce77821b2cb302bbd0f1a9443c9db76.examples.route-separation.index.js,app.use(methodOverride('_method'));,app.use(methodOverride('_method'));
bower.e727566741c0fb3be0512706a1de12fe926508e6.lib.core.resolvers.SvnResolver.js,var Resolver = require('./Resolver');,var Resolver = require('./Resolver');
express.228a78136df2975f8a0795b12d38b8edbbf313d6.lib.express.server.js,"connect.Server.prototype.listen.call(this, port);","connect.Server.prototype.use.call(this, route, middleware);"
hexo.c60486465c743f5610799e5b96790fe8cf27044a.test.scripts.filters.external_link.js,hexo.config.external_link = true;,hexo.config.external_link.enable = true;
express.6bb42ffafc668b6a42dc291518fb8e68e50fe3d3.test.view.test.js,req.should.be.a('object');,assert.should.equal('one');
bower.34527c839542cdb751c260949d93e9369bb5db2c.packages.bower-registry-client.test.Client.js,"it('should set default strictSsl config', function () {","it('should return', function () {"
karma.8627d67206906d1be2568ac231a0922eb60a5236.lib.server.js,"transports: config.transports,",transports: config.transports
express.24edc4d3c1849d0dcd88cc5f1a7657d4b6446224.lib.express.spec.mocks.js,"var request = mockRequest({ method: method.toUpperCase(), uri: { path: path }})","var response = mockRequest({ method : method.toUpperCase(), uri : { path : path }})"
bower.4b4a854ed84db51d5540374ba4b411451dfad736.Gruntfile.js,if (process.env.SKIP_TESTS !== '1') {,if (done) {
hexo.f2c11995e7fbd192a11f3299d008bf608f9e76eb.lib.plugins.helper.format.js,exports.strip_html = function(content){,exports.strip_html = function(content){
express.33277c3d370e6f34904ef8a36d9b348b4cd41b84.lib.express.request.js,url = require('url'),url = require('url')
hexo.956242e4e6f008c5a2e0d1feddaa4f3a7bb2251e.test.scripts.hexo.load_config.js,const { makeRe } = require('micromatch');,const Promise = require(\'bluebird\');
hexo.4b3fbb3f6756963d465544f0f10059cad1bad363.lib.plugins.helper.css.js,"_ = require('lodash'),","_ = require('lodash'),"
hexo.79bb3aab3bef68d55798a2fe2eed2496dc8562dc.lib.plugins.helper.toc.js,"const { htmlTag, tocObj } = require('hexo-util');","const result = [firstLevel,];"
hexo.00c6114d22ea3e7f09ad092922f21c8dc5c72c8f.test.scripts.helpers.partial.js,const viewName = 'article.swig';,const viewName = 'article.swig';
express.b856a7288618aa24981450d6669ee5ac12e8b4bf.examples.blog.models.post.js,};,};
hexo.858959e83fd45edcdb88b88e0f55cc3f177099cc.lib.post.create.js,"var preservedKeys = ['title', 'slug', 'path', 'layout', 'date', 'content'];","var target = path.join(data.path, layout.indexOf('index.md'));"
bower.88d674848f56e1032cc71504d10702f682fba643.lib.util.save.js,|| (dep.gitUrl && dep.gitUrl === curr),|| (dep.url && dep.url === curr)
karma.6164d8699c0f07fd8fcbae88221eb35d99fb02e4.lib.watcher.js,"return pattern.replace(/[\/\\][^\/\\]*\*.*$/, '')","return pattern.replace(/\\/[^\\/]*\\*.*$/, '');"
karma.a3d1f11542eab55928bbb0cf4f21cfe34b603006.test.e2e.step_definitions.hooks.js,await this.stopBackgroundProcessIfRunning(),After(this.proxy.stopIfRunning)
express.61fa7ee77bb7d02acfd87fb646583c82f527f308.lib.express.core.js,"var name = parts[i].replace(']', '')",params[key]
hexo.7688e2e04f2f38f5a933a98d43c3a7f18bf578e3.lib.cli.preview.js,"watch(function(ev, callback){",""""
hexo.19afdaad3e4f9743a81544f3656ee157f7611916.lib.plugins.processor.post_asset.js,"var path = data.params.path,",var content = data.content;
hexo.9ba40f4dd5894c20905a5380020833da8275015a.lib.models.post.js,var Moment = require('./types/moment');,"var Moment = require(""./types/moment');"
bower.e704733743bb56ffce548e91ad91745d4d425cc0.lib.core.Project.js,if (options.saveResolutions == null) {,if (options.save || options.saveDev) {
karma.be878dc545a0dd266d5686387c976ce70f1a095c.lib.proxy.js,"port: proxyDetails.port,","port: proxyDetails.port,"
hexo.382b0deef4ea6906a58c7828a70d4b3bebb5b2da.lib.plugins.tag.post_path.js,const { resolve } = require('url');,NULL
express.9a89dab9e0180560a48e9eb0975f61c732805898.test.response.test.js,'test #sendfile() Range': function(assert){,"res.middlewareResponse(true, users){"
bower.aeb5a3a2614ac04087a09cac6584cf7c693f7097.lib.core.manager.js,Object.keys(this.dependencies).forEach(function (key) {,return this.discen = function () {
