Min editdistance: 53.00
Closest candidate: 6 9 .exec('spec/spec.commands.common-logger.js')
0 1 "

3 1 .exec('spec/spec.core.collection.js')
3 2 .exec('spec/spec.core.plugins.js')
3 3 .exec('spec/spec.plugins.content-length.js')
3 4 .exec('spec/spec.plugins.method-override.js')
3 5 .exec('spec/spec.plugins.redirect.js')
3 6 .exec('spec/spec.plugins.hooks.js')
3 7 .exec('spec/spec.plugins.cookie.js')
3 8 .exec('spec/spec.plugins.session.js')
3 9 .exec('spec/spec.plugins.flash.js')
3 10 .exec('spec/spec.plugins.static-release.js')
3 32 })
3 33 }"

6 1 .exec('spec/spec.core.mime.js')
6 2 .exec('spec/spec.spec.options.provir.js')
6 3 .exec('spec/spec.spec.options.provir.options.n')
6 4 .exec('spec/spec.spec.options.provir.options.exit.length > 0')
6 5 .exec('spec/spec.spec.spec.options.exit.reset')
6 6 .exec('spec/spec.spec.options.exit.max.hooks.length > 0')
6 7 .exec('spec/spec.spec.commands.js')
6 8 .exec('spec/spec.commands.mime.js')
6 9 .exec('spec/spec.commands.common-logger.js')
6 10 .exec('spec/spec.commands.content-length.js')
6 11 .exec('spec/spec.commands.method-override.js')
6 12 .exec('spec/spec.commands.redirect.js')
6 13 .exec('spec/spec.commands.hooks.common-logger.js')
6 14 .exec('spec/spec.commands.Redirect.js')
6 15 .exec('spec/spec.commands.Redirect.min.js')
6 16 .exec('spec/spec.commands.abbrev.js')
6 17 .exec('spec/spec.commands.helpers.js')
6 19 .exec('spec/spec.commands.view.js')
6 20 .exec('spec/spec.commands.async.js')
6 29 .exec('spec/spec.commands.hooks.direct')
6 31 .exec('spec.colors.server.s.sockets.discrimraf.client.s.s.compress.compress.js')
6 32 .exec('12.compress.compress.compress.server.compress.sockets.compress.sockets.compress')
6 33 .server.compress.sockets.unshift()
6 34 .compress.s.sockets.sockets.generic.compress.sockets.invalidate()
